27,27
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,TKI
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,GKI
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GOC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,1,X
WFE,D
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,TKI
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,TKI
WC,0,X
GC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,1,X
SLE,L
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
WFE,D
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,TKI
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
SLE,R
GC,0,X
GC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
